#contig	Length	S3/S3.ffn.trimmed.S3_r1.bam
S3_LLLPBJCP_00001	258	2.9380
S3_LLLPBJCP_00002	504	5.6706
S3_LLLPBJCP_00003	1146	8.9346
S3_LLLPBJCP_00004	123	5.7236
S3_LLLPBJCP_00005	423	5.4657
S3_LLLPBJCP_00006	198	4.7020
S3_LLLPBJCP_00007	588	114.2891
S3_LLLPBJCP_00008	780	68.2974
S3_LLLPBJCP_00009	180	5.5278
S3_LLLPBJCP_00010	516	12.3663
S3_LLLPBJCP_00011	546	6.6502
S3_LLLPBJCP_00012	543	2.8140
S3_LLLPBJCP_00013	1128	6.1170
S3_LLLPBJCP_00014	174	6.4713
S3_LLLPBJCP_00015	225	3.9956
S3_LLLPBJCP_00016	210	4.6381
S3_LLLPBJCP_00017	297	3.1886
S3_LLLPBJCP_00018	414	3.6570
S3_LLLPBJCP_00019	495	3.7293
S3_LLLPBJCP_00020	195	9.1692
S3_LLLPBJCP_00021	393	2.7608
S3_LLLPBJCP_00022	288	11.5139
S3_LLLPBJCP_00023	1356	8.6917
S3_LLLPBJCP_00024	822	12.2847
S3_LLLPBJCP_00025	960	8.7219
S3_LLLPBJCP_00026	348	2.2644
S3_LLLPBJCP_00027	639	3.2660
S3_LLLPBJCP_00028	420	4.2095
S3_LLLPBJCP_00029	453	3.8918
S3_LLLPBJCP_00030	759	3.7378
S3_LLLPBJCP_00031	1164	34.0747
S3_LLLPBJCP_00032	222	2.0000
S3_LLLPBJCP_00033	354	19.5000
S3_LLLPBJCP_00034	471	3.0828
S3_LLLPBJCP_00035	138	78.6884
S3_LLLPBJCP_00036	405	53.2272
S3_LLLPBJCP_00037	249	53.3855
S3_LLLPBJCP_00038	210	59.8952
S3_LLLPBJCP_00039	306	34.7255
S3_LLLPBJCP_00040	192	53.4531
S3_LLLPBJCP_00041	306	65.1569
S3_LLLPBJCP_00042	939	52.8243
S3_LLLPBJCP_00043	1014	51.5010
S3_LLLPBJCP_00044	165	1.3515
S3_LLLPBJCP_00045	1110	7.6225
S3_LLLPBJCP_00046	642	4.5389
S3_LLLPBJCP_00047	144	2.3333
S3_LLLPBJCP_00048	654	6.5887
S3_LLLPBJCP_00049	345	7.5275
S3_LLLPBJCP_00050	435	7.4966
S3_LLLPBJCP_00051	846	9.5520
S3_LLLPBJCP_00052	816	8.0956
S3_LLLPBJCP_00053	801	7.9638
S3_LLLPBJCP_00054	750	9.2987
S3_LLLPBJCP_00055	378	1.6958
S3_LLLPBJCP_00056	258	14.1434
S3_LLLPBJCP_00057	354	3.3305
S3_LLLPBJCP_00058	540	6.2944
S3_LLLPBJCP_00059	1185	5.1654
S3_LLLPBJCP_00060	76	1.4868
S3_LLLPBJCP_00061	354	3.3079
S3_LLLPBJCP_00062	381	2.7507
S3_LLLPBJCP_00063	453	3.5695
S3_LLLPBJCP_00064	1530	17.5876
S3_LLLPBJCP_00065	2331	14.4470
