#contig	Length	S2/S2.ffn.trimmed.S2_r1.bam
S2_OGNIMOKN_00001	333	3.9459
S2_OGNIMOKN_00002	444	3.9482
S2_OGNIMOKN_00003	393	8.1807
S2_OGNIMOKN_00004	768	6.2344
S2_OGNIMOKN_00005	180	3.4556
S2_OGNIMOKN_00006	582	6.0859
S2_OGNIMOKN_00007	357	3.0168
S2_OGNIMOKN_00008	213	2.9953
S2_OGNIMOKN_00009	207	2.9614
S2_OGNIMOKN_00010	213	4.4648
S2_OGNIMOKN_00011	807	4.5626
S2_OGNIMOKN_00012	225	17.8933
S2_OGNIMOKN_00013	738	4.9878
S2_OGNIMOKN_00014	192	5.0833
S2_OGNIMOKN_00015	411	4.6399
S2_OGNIMOKN_00016	129	78.1163
S2_OGNIMOKN_00017	408	2.5417
S2_OGNIMOKN_00018	174	2.6149
S2_OGNIMOKN_00019	465	7.2688
S2_OGNIMOKN_00020	474	7.5696
S2_OGNIMOKN_00021	471	5.5414
S2_OGNIMOKN_00022	129	4.5814
S2_OGNIMOKN_00023	504	2.8929
S2_OGNIMOKN_00024	363	4.5455
S2_OGNIMOKN_00025	513	4.6979
S2_OGNIMOKN_00026	717	2.5356
S2_OGNIMOKN_00027	1362	120.7188
S2_OGNIMOKN_00028	336	82.8929
S2_OGNIMOKN_00029	510	6.9020
S2_OGNIMOKN_00030	594	25.4057
S2_OGNIMOKN_00031	471	5.4989
S2_OGNIMOKN_00032	138	5.3406
S2_OGNIMOKN_00033	108	4.9907
S2_OGNIMOKN_00034	915	4.8197
S2_OGNIMOKN_00035	387	7.8088
S2_OGNIMOKN_00036	1269	5.5288
S2_OGNIMOKN_00037	159	4.9874
S2_OGNIMOKN_00038	198	4.1919
S2_OGNIMOKN_00039	438	5.3333
S2_OGNIMOKN_00040	549	4.6776
S2_OGNIMOKN_00041	261	2.0345
S2_OGNIMOKN_00042	291	2.0344
S2_OGNIMOKN_00043	363	5.2314
S2_OGNIMOKN_00044	249	6.0964
S2_OGNIMOKN_00045	144	4.8333
S2_OGNIMOKN_00046	258	3.5659
S2_OGNIMOKN_00047	513	5.5809
S2_OGNIMOKN_00048	156	4.6090
S2_OGNIMOKN_00049	951	5.8665
S2_OGNIMOKN_00050	372	5.5833
S2_OGNIMOKN_00051	294	4.1565
S2_OGNIMOKN_00052	309	5.3722
S2_OGNIMOKN_00053	237	2.0549
S2_OGNIMOKN_00054	447	8.2081
S2_OGNIMOKN_00055	174	5.1667
S2_OGNIMOKN_00056	459	4.0174
S2_OGNIMOKN_00057	369	5.7507
S2_OGNIMOKN_00058	1179	7.6175
S2_OGNIMOKN_00059	1035	7.9903
S2_OGNIMOKN_00060	267	3.3820
S2_OGNIMOKN_00061	261	2.4559
S2_OGNIMOKN_00062	357	4.8347
S2_OGNIMOKN_00063	369	5.6883
S2_OGNIMOKN_00064	300	5.3567
S2_OGNIMOKN_00065	363	4.8623
S2_OGNIMOKN_00066	153	7.9346
S2_OGNIMOKN_00067	378	2.6614
S2_OGNIMOKN_00068	339	3.2950
S2_OGNIMOKN_00069	327	2.2936
S2_OGNIMOKN_00070	618	4.0032
S2_OGNIMOKN_00071	135	2.9852
S2_OGNIMOKN_00072	768	10.6458
S2_OGNIMOKN_00073	327	5.3211
S2_OGNIMOKN_00074	564	4.9592
S2_OGNIMOKN_00075	591	3.1371
S2_OGNIMOKN_00076	153	4.5163
S2_OGNIMOKN_00077	339	3.5221
S2_OGNIMOKN_00078	456	5.5088
S2_OGNIMOKN_00079	639	6.0110
S2_OGNIMOKN_00080	1257	7.0756
S2_OGNIMOKN_00081	531	5.5292
S2_OGNIMOKN_00082	210	6.6905
S2_OGNIMOKN_00083	234	5.9103
S2_OGNIMOKN_00084	600	6.6433
S2_OGNIMOKN_00085	171	5.7193
S2_OGNIMOKN_00086	375	2.6667
S2_OGNIMOKN_00087	465	4.6409
S2_OGNIMOKN_00088	375	3.6000
S2_OGNIMOKN_00089	279	4.2079
S2_OGNIMOKN_00090	621	4.0515
S2_OGNIMOKN_00091	738	5.0786
S2_OGNIMOKN_00092	387	6.8475
S2_OGNIMOKN_00093	1191	5.0311
S2_OGNIMOKN_00094	306	3.2386
S2_OGNIMOKN_00095	471	9.8938
S2_OGNIMOKN_00096	750	4.3200
S2_OGNIMOKN_00097	633	5.6540
S2_OGNIMOKN_00098	885	7.6486
S2_OGNIMOKN_00099	675	6.5985
S2_OGNIMOKN_00100	771	4.4099
S2_OGNIMOKN_00101	432	6.0278
S2_OGNIMOKN_00102	597	3.2345
S2_OGNIMOKN_00103	693	3.8773
S2_OGNIMOKN_00104	456	4.2763
S2_OGNIMOKN_00105	98	6.2755
S2_OGNIMOKN_00106	957	21.5172
S2_OGNIMOKN_00107	651	18.3226
S2_OGNIMOKN_00108	1323	18.3220
S2_OGNIMOKN_00109	252	5.6389
S2_OGNIMOKN_00110	279	3.5627
S2_OGNIMOKN_00111	573	5.0436
S2_OGNIMOKN_00112	111	5.4054
S2_OGNIMOKN_00113	303	13.0462
S2_OGNIMOKN_00114	207	5.0773
S2_OGNIMOKN_00115	270	4.9852
S2_OGNIMOKN_00116	600	6.5683
S2_OGNIMOKN_00117	1305	11.9854
S2_OGNIMOKN_00118	498	3.1124
S2_OGNIMOKN_00119	396	4.5859
S2_OGNIMOKN_00120	498	10.9337
S2_OGNIMOKN_00121	1485	9.3845
S2_OGNIMOKN_00122	77	18.3506
S2_OGNIMOKN_00123	76	13.3421
S2_OGNIMOKN_00124	75	11.8267
S2_OGNIMOKN_00125	76	9.8026
S2_OGNIMOKN_00126	180	3.1667
S2_OGNIMOKN_00127	1116	4.5950
S2_OGNIMOKN_00128	576	4.4306
S2_OGNIMOKN_00129	1050	4.6333
S2_OGNIMOKN_00130	981	7.5933
S2_OGNIMOKN_00131	291	4.2577
